Member_number,Recency,Frequency,Monetary,Cluster
KH2374,190,14,154.3,Big Spenders
KH2375,21,11,138.6,Loyal Customers
KH2376,216,8,93.0,Big Spenders
KH2377,258,5,35.0,Big Spenders
KH2378,259,4,49.0,Big Spenders
KH2379,102,6,78.5,Potential Loyalists
KH2380,82,16,177.75,Loyal Customers
KH2381,227,19,165.02,Big Spenders
KH2383,86,12,147.29,Loyal Customers
KH2384,362,6,32.6,Churned Customers
KH2386,25,12,83.0,Potential Loyalists
KH2387,659,2,8.1,One-time Shoppers
KH2388,406,8,60.62,Churned Customers
KH2389,47,16,166.19,Loyal Customers
KH2390,131,14,51.56,Big Spenders
KH2391,25,15,100.4,Potential Loyalists
KH2392,15,7,50.8,Potential Loyalists
KH2393,257,14,98.1,Big Spenders
KH2394,38,29,221.0,Loyal Customers
KH2395,408,5,107.6,Churned Customers
KH2396,496,11,79.85,One-time Shoppers
KH2397,87,6,51.94,Potential Loyalists
KH2398,356,7,26.2,Churned Customers
KH2399,321,11,139.3,Churned Customers
KH2400,283,12,154.15,Churned Customers
KH2401,11,10,111.3,Potential Loyalists
KH2402,115,10,66.83,Potential Loyalists
KH2403,29,13,142.1,Loyal Customers
KH2404,76,11,81.3,Potential Loyalists
KH2406,23,17,110.96,Potential Loyalists
KH2407,295,10,76.3,Churned Customers
KH2408,112,21,189.93,Loyal Customers
KH2410,39,11,78.0,Potential Loyalists
KH2411,618,6,48.4,One-time Shoppers
KH2412,292,7,71.3,Churned Customers
KH2413,17,14,86.65,Potential Loyalists
KH2414,574,2,21.0,One-time Shoppers
KH2415,144,14,133.9,Big Spenders
KH2416,55,9,81.6,Potential Loyalists
KH2417,422,2,11.4,Churned Customers
KH2419,130,9,93.8,Big Spenders
KH2420,94,10,70.0,Potential Loyalists
KH2421,38,21,150.3,Loyal Customers
KH2422,49,11,62.4,Potential Loyalists
KH2423,517,4,34.8,One-time Shoppers
KH2424,458,6,68.1,Churned Customers
KH2425,313,4,9.1,Churned Customers
KH2426,113,17,203.5,Loyal Customers
KH2427,187,9,46.15,Big Spenders
KH2428,131,17,85.45,Big Spenders
KH2429,184,4,33.96,Big Spenders
KH2430,344,12,98.4,Churned Customers
KH2431,64,13,82.97,Potential Loyalists
KH2432,18,14,137.0,Loyal Customers
KH2433,3,31,375.31,Loyal Customers
KH2434,103,7,86.5,Potential Loyalists
KH2435,92,12,157.05,Loyal Customers
KH2436,36,11,86.6,Potential Loyalists
KH2437,45,15,134.7,Loyal Customers
KH2438,313,4,51.6,Churned Customers
KH2439,60,10,92.34,Potential Loyalists
KH2440,194,25,223.29,Loyal Customers
KH2441,180,15,73.92,Big Spenders
KH2442,674,2,13.4,One-time Shoppers
KH2443,45,21,241.7,Loyal Customers
KH2444,196,8,56.43,Big Spenders
KH2445,427,8,87.6,Churned Customers
KH2446,113,9,79.8,Potential Loyalists
KH2447,2,21,204.0,Loyal Customers
KH2448,1,17,74.9,Potential Loyalists
KH2449,175,8,85.6,Big Spenders
KH2450,152,6,49.7,Big Spenders
KH2451,458,7,30.65,One-time Shoppers
KH2452,141,11,129.16,Big Spenders
KH2453,9,15,114.69,Potential Loyalists
KH2454,50,20,143.1,Loyal Customers
KH2455,360,4,45.7,Churned Customers
KH2456,655,2,12.5,One-time Shoppers
KH2457,382,6,23.0,Churned Customers
KH2458,129,6,55.7,Big Spenders
KH2459,99,13,100.7,Potential Loyalists
KH2460,12,9,70.7,Potential Loyalists
KH2461,87,5,38.3,Potential Loyalists
KH2462,280,5,67.78,Churned Customers
KH2463,4,6,19.2,Potential Loyalists
KH2464,164,8,76.7,Big Spenders
KH2465,3,11,124.3,Potential Loyalists
KH2466,81,9,150.2,Loyal Customers
KH2467,84,12,86.8,Potential Loyalists
KH2468,292,8,29.8,Churned Customers
KH2469,98,13,104.8,Potential Loyalists
KH2470,230,11,64.3,Big Spenders
KH2471,139,9,57.3,Big Spenders
KH2472,347,8,57.1,Churned Customers
KH2473,182,6,26.4,Big Spenders
KH2474,324,2,11.0,Churned Customers
KH2475,50,14,126.8,Loyal Customers
KH2476,26,10,37.85,Potential Loyalists
KH2477,209,7,26.9,Big Spenders
KH2478,484,5,111.45,One-time Shoppers
KH2479,351,10,40.05,Churned Customers
KH2480,101,13,46.7,Potential Loyalists
KH2481,36,6,74.76,Potential Loyalists
KH2482,708,3,6.9,One-time Shoppers
KH2483,63,8,75.5,Potential Loyalists
KH2484,140,14,136.75,Big Spenders
KH2485,226,7,46.45,Big Spenders
KH2486,35,5,41.15,Potential Loyalists
KH2487,174,4,18.1,Big Spenders
KH2488,133,7,69.5,Big Spenders
KH2489,8,10,62.42,Potential Loyalists
KH2490,12,6,19.92,Potential Loyalists
KH2492,50,21,210.64,Loyal Customers
KH2493,145,5,20.7,Big Spenders
KH2494,118,17,135.8,Loyal Customers
KH2495,155,11,83.7,Big Spenders
KH2496,28,8,99.36,Potential Loyalists
KH2497,511,2,4.9,One-time Shoppers
KH2499,38,15,159.22,Loyal Customers
KH2500,24,9,85.55,Potential Loyalists
KH2501,112,4,23.0,Potential Loyalists
KH2502,259,14,97.62,Big Spenders
KH2503,325,2,63.9,Churned Customers
KH2504,138,11,127.7,Big Spenders
KH2505,30,11,76.9,Potential Loyalists
KH2506,3,8,56.9,Potential Loyalists
KH2507,0,13,125.6,Potential Loyalists
KH2508,3,9,61.25,Potential Loyalists
KH2509,168,8,105.1,Big Spenders
KH2510,92,14,121.8,Loyal Customers
KH2511,169,21,202.74,Loyal Customers
KH2512,119,26,208.22,Loyal Customers
KH2513,15,12,80.3,Potential Loyalists
KH2514,58,11,81.1,Potential Loyalists
KH2515,161,12,96.28,Big Spenders
KH2516,152,8,48.3,Big Spenders
KH2517,18,27,256.25,Loyal Customers
KH2518,180,12,100.5,Big Spenders
KH2519,210,14,99.7,Big Spenders
KH2520,24,6,34.77,Potential Loyalists
KH2521,16,10,70.2,Potential Loyalists
KH2522,509,8,49.3,One-time Shoppers
KH2523,179,15,130.06,Big Spenders
KH2524,25,28,235.45,Loyal Customers
KH2525,44,11,97.54,Potential Loyalists
KH2526,75,4,21.1,Potential Loyalists
KH2527,141,5,53.1,Big Spenders
KH2528,72,7,65.3,Potential Loyalists
KH2530,122,11,77.54,Potential Loyalists
KH2531,493,4,57.5,One-time Shoppers
KH2532,177,12,90.75,Big Spenders
KH2533,372,7,70.4,Churned Customers
KH2534,52,14,123.52,Potential Loyalists
KH2535,50,13,95.5,Potential Loyalists
KH2536,53,7,59.3,Potential Loyalists
KH2537,77,8,35.6,Potential Loyalists
KH2538,156,7,43.2,Big Spenders
KH2539,45,4,20.6,Potential Loyalists
KH2540,300,17,132.7,Churned Customers
KH2541,474,6,28.2,One-time Shoppers
KH2542,36,8,71.0,Potential Loyalists
KH2543,139,10,85.85,Big Spenders
KH2544,335,9,74.6,Churned Customers
KH2545,42,12,43.35,Potential Loyalists
KH2546,237,5,37.8,Big Spenders
KH2547,36,12,148.6,Loyal Customers
KH2548,5,10,63.45,Potential Loyalists
KH2549,128,16,201.92,Loyal Customers
KH2550,7,16,163.14,Loyal Customers
KH2551,70,6,83.6,Potential Loyalists
KH2552,359,13,119.52,Churned Customers
KH2553,163,14,73.23,Big Spenders
KH2555,7,16,196.8,Loyal Customers
KH2556,124,10,95.8,Big Spenders
KH2557,68,6,58.4,Potential Loyalists
KH2558,140,2,10.6,Big Spenders
KH2559,429,6,72.7,Churned Customers
KH2560,34,24,165.52,Loyal Customers
KH2561,133,9,74.85,Big Spenders
KH2562,411,10,111.2,Churned Customers
KH2563,1,14,98.55,Potential Loyalists
KH2564,169,10,87.8,Big Spenders
KH2565,93,12,75.74,Potential Loyalists
KH2566,333,3,44.92,Churned Customers
KH2567,526,2,22.4,One-time Shoppers
KH2568,82,19,167.3,Loyal Customers
KH2569,167,7,91.1,Big Spenders
KH2570,128,11,86.4,Big Spenders
KH2571,166,8,76.1,Big Spenders
KH2572,217,2,39.4,Big Spenders
KH2573,361,16,157.4,Churned Customers
KH2574,19,11,98.44,Potential Loyalists
KH2575,292,4,74.2,Churned Customers
KH2576,370,4,52.3,Churned Customers
KH2577,66,8,29.45,Potential Loyalists
KH2578,29,18,155.76,Loyal Customers
KH2579,266,6,92.3,Big Spenders
KH2580,43,12,124.0,Potential Loyalists
KH2581,16,12,99.85,Potential Loyalists
KH2582,46,12,143.8,Loyal Customers
KH2583,279,5,67.5,Churned Customers
KH2584,249,20,153.97,Big Spenders
KH2585,291,10,35.4,Churned Customers
KH2586,65,5,53.1,Potential Loyalists
KH2587,211,13,84.25,Big Spenders
KH2588,2,5,42.8,Potential Loyalists
KH2589,245,19,99.44,Big Spenders
KH2590,14,10,104.5,Potential Loyalists
KH2591,385,4,6.6,Churned Customers
KH2592,90,16,141.94,Loyal Customers
KH2593,443,6,41.32,Churned Customers
KH2594,223,8,49.3,Big Spenders
KH2595,341,17,134.45,Churned Customers
KH2597,137,15,125.25,Big Spenders
KH2598,49,3,59.1,Potential Loyalists
KH2599,38,15,160.1,Loyal Customers
KH2600,14,19,158.9,Loyal Customers
KH2601,69,19,197.0,Loyal Customers
KH2602,19,17,145.44,Loyal Customers
KH2603,550,4,31.86,One-time Shoppers
KH2604,101,14,103.1,Potential Loyalists
KH2605,487,6,33.35,One-time Shoppers
KH2606,338,8,60.7,Churned Customers
KH2607,405,4,19.3,Churned Customers
KH2608,102,8,43.4,Potential Loyalists
KH2609,126,5,22.6,Potential Loyalists
KH2610,70,7,75.04,Potential Loyalists
KH2611,366,7,38.35,Churned Customers
KH2612,213,18,149.25,Big Spenders
KH2613,129,17,75.45,Big Spenders
KH2614,188,2,9.0,Big Spenders
KH2615,580,4,27.2,One-time Shoppers
KH2616,228,8,72.0,Big Spenders
KH2617,222,16,126.85,Big Spenders
KH2618,27,16,163.9,Loyal Customers
KH2619,371,7,43.56,Churned Customers
KH2620,16,8,53.55,Potential Loyalists
KH2621,459,4,25.2,One-time Shoppers
KH2622,90,12,74.7,Potential Loyalists
KH2623,81,9,65.5,Potential Loyalists
KH2624,134,4,61.8,Big Spenders
KH2625,42,31,243.06,Loyal Customers
KH2626,508,7,39.0,One-time Shoppers
KH2627,60,8,42.2,Potential Loyalists
KH2628,393,2,18.0,Churned Customers
KH2629,24,19,178.54,Loyal Customers
KH2630,318,7,77.24,Churned Customers
KH2631,94,7,30.5,Potential Loyalists
KH2632,98,24,254.8,Loyal Customers
KH2633,33,16,102.2,Potential Loyalists
KH2634,252,5,36.9,Big Spenders
KH2635,104,6,67.2,Potential Loyalists
KH2636,110,10,78.0,Potential Loyalists
KH2637,468,4,12.9,One-time Shoppers
KH2638,446,5,83.4,Churned Customers
KH2639,48,8,61.1,Potential Loyalists
KH2640,252,2,4.8,Big Spenders
KH2641,304,12,96.1,Churned Customers
KH2642,273,7,43.6,Churned Customers
KH2643,29,12,86.55,Potential Loyalists
KH2644,588,7,43.9,One-time Shoppers
KH2645,186,19,157.6,Big Spenders
KH2646,49,7,100.6,Potential Loyalists
KH2648,52,13,152.7,Loyal Customers
KH2649,32,9,85.2,Potential Loyalists
KH2650,38,16,193.71,Loyal Customers
KH2651,475,4,32.12,One-time Shoppers
KH2652,4,13,116.69,Potential Loyalists
KH2653,23,12,77.15,Potential Loyalists
KH2654,35,19,145.3,Loyal Customers
KH2655,182,5,45.76,Big Spenders
KH2656,14,10,105.1,Potential Loyalists
KH2657,223,6,57.2,Big Spenders
KH2658,75,7,26.9,Potential Loyalists
KH2659,22,16,172.97,Loyal Customers
KH2660,475,4,86.2,One-time Shoppers
KH2661,243,8,71.9,Big Spenders
KH2662,390,6,33.4,Churned Customers
KH2663,70,27,208.82,Loyal Customers
KH2664,101,8,62.9,Potential Loyalists
KH2665,261,4,84.66,Big Spenders
KH2666,16,16,110.55,Potential Loyalists
KH2667,197,5,38.29,Big Spenders
KH2668,394,2,4.2,Churned Customers
KH2669,97,11,62.1,Potential Loyalists
KH2670,245,6,47.1,Big Spenders
KH2671,156,8,56.3,Big Spenders
KH2672,34,12,121.8,Potential Loyalists
KH2673,20,8,36.1,Potential Loyalists
KH2674,483,6,41.7,One-time Shoppers
KH2675,106,7,18.2,Potential Loyalists
KH2676,53,14,129.9,Loyal Customers
KH2677,7,6,33.6,Potential Loyalists
KH2678,32,11,99.05,Potential Loyalists
KH2679,379,6,57.39,Churned Customers
KH2680,141,8,70.1,Big Spenders
KH2681,242,6,72.0,Big Spenders
KH2682,29,11,49.2,Potential Loyalists
KH2683,141,8,82.7,Big Spenders
KH2684,353,3,7.5,Churned Customers
KH2685,84,12,60.4,Potential Loyalists
KH2686,375,4,27.0,Churned Customers
KH2687,107,16,140.6,Loyal Customers
KH2688,38,13,100.1,Potential Loyalists
KH2689,244,15,85.4,Big Spenders
KH2690,56,17,185.5,Loyal Customers
KH2691,56,10,104.3,Potential Loyalists
KH2692,82,10,125.6,Loyal Customers
KH2693,58,11,101.4,Potential Loyalists
KH2694,36,19,161.76,Loyal Customers
KH2695,179,8,74.3,Big Spenders
KH2696,119,11,76.0,Potential Loyalists
KH2697,541,4,78.7,One-time Shoppers
KH2698,340,8,61.8,Churned Customers
KH2699,32,10,60.55,Potential Loyalists
KH2700,45,9,114.88,Potential Loyalists
KH2701,501,11,104.69,One-time Shoppers
KH2702,217,9,69.3,Big Spenders
KH2703,100,9,73.0,Potential Loyalists
KH2704,42,6,39.8,Potential Loyalists
KH2705,44,6,72.94,Potential Loyalists
KH2706,88,23,260.9,Loyal Customers
KH2707,73,17,123.56,Loyal Customers
KH2708,316,6,79.5,Churned Customers
KH2709,132,11,46.45,Big Spenders
KH2710,77,4,19.5,Potential Loyalists
KH2711,108,14,107.2,Potential Loyalists
KH2712,95,13,67.54,Potential Loyalists
KH2713,134,10,159.3,Loyal Customers
KH2714,290,2,36.7,Churned Customers
KH2715,177,15,117.4,Big Spenders
KH2716,98,16,192.1,Loyal Customers
KH2717,727,2,8.4,One-time Shoppers
KH2718,201,20,170.72,Big Spenders
KH2719,214,14,98.0,Big Spenders
KH2720,552,2,14.9,One-time Shoppers
KH2721,142,6,41.3,Big Spenders
KH2722,412,4,22.1,Churned Customers
KH2723,57,10,157.5,Loyal Customers
KH2724,244,6,81.2,Big Spenders
KH2725,702,4,33.4,One-time Shoppers
KH2726,395,8,69.92,Churned Customers
KH2727,15,10,108.4,Potential Loyalists
KH2728,32,5,50.4,Potential Loyalists
KH2729,97,18,236.3,Loyal Customers
KH2730,50,11,107.11,Potential Loyalists
KH2731,263,4,18.0,Big Spenders
KH2732,272,10,68.9,Big Spenders
KH2733,161,6,29.3,Big Spenders
KH2734,275,3,29.14,Churned Customers
KH2735,212,2,7.4,Big Spenders
KH2736,4,23,267.4,Loyal Customers
KH2737,369,6,37.73,Churned Customers
KH2738,51,21,220.0,Loyal Customers
KH2739,102,4,37.2,Potential Loyalists
KH2740,181,4,53.8,Big Spenders
KH2741,93,12,61.5,Potential Loyalists
KH2742,81,9,49.85,Potential Loyalists
KH2743,142,17,312.46,Loyal Customers
KH2744,225,8,69.5,Big Spenders
KH2745,245,15,144.6,Big Spenders
KH2746,215,15,167.15,Big Spenders
KH2747,122,12,131.3,Loyal Customers
KH2748,637,2,20.4,One-time Shoppers
KH2749,191,7,65.1,Big Spenders
KH2750,107,8,62.95,Potential Loyalists
KH2751,330,12,104.77,Churned Customers
KH2752,81,2,24.7,Potential Loyalists
KH2753,113,8,48.2,Potential Loyalists
KH2754,242,10,82.1,Big Spenders
KH2755,227,15,160.3,Big Spenders
KH2756,37,10,97.9,Potential Loyalists
KH2757,14,10,127.8,Loyal Customers
KH2758,41,20,212.9,Loyal Customers
KH2759,156,2,8.0,Big Spenders
KH2760,144,23,135.4,Big Spenders
KH2761,249,15,99.18,Big Spenders
KH2762,12,9,82.35,Potential Loyalists
KH2763,320,10,53.54,Churned Customers
KH2764,2,13,92.75,Potential Loyalists
KH2765,30,12,156.25,Loyal Customers
KH2766,133,7,75.2,Big Spenders
KH2767,337,5,23.1,Churned Customers
KH2768,363,7,52.1,Churned Customers
KH2769,152,12,132.63,Big Spenders
KH2770,168,5,37.5,Big Spenders
KH2771,126,7,133.7,Loyal Customers
KH2772,26,16,237.2,Loyal Customers
KH2773,579,2,14.5,One-time Shoppers
KH2774,63,7,27.96,Potential Loyalists
KH2775,54,10,83.3,Potential Loyalists
KH2776,595,4,25.14,One-time Shoppers
KH2777,212,10,86.2,Big Spenders
KH2778,549,9,37.59,One-time Shoppers
KH2779,3,22,223.55,Loyal Customers
KH2780,80,6,66.2,Potential Loyalists
KH2781,212,13,88.5,Big Spenders
KH2782,204,9,70.7,Big Spenders
KH2783,274,2,7.8,Churned Customers
KH2784,47,13,133.95,Loyal Customers
KH2785,73,10,132.96,Loyal Customers
KH2786,280,7,71.3,Churned Customers
KH2787,189,16,155.6,Big Spenders
KH2788,118,9,36.6,Potential Loyalists
KH2789,212,23,209.6,Big Spenders
KH2790,0,8,80.5,Potential Loyalists
KH2791,404,2,38.1,Churned Customers
KH2792,67,15,92.9,Potential Loyalists
KH2794,92,18,236.4,Loyal Customers
KH2795,238,12,74.0,Big Spenders
KH2796,74,12,69.0,Potential Loyalists
KH2797,109,5,50.7,Potential Loyalists
KH2798,130,8,29.2,Big Spenders
KH2799,111,21,161.7,Loyal Customers
KH2800,89,13,78.15,Potential Loyalists
KH2801,446,8,22.35,Churned Customers
KH2802,380,8,59.2,Churned Customers
KH2803,430,11,96.62,Churned Customers
KH2804,346,9,71.6,Churned Customers
KH2805,122,11,77.85,Potential Loyalists
KH2806,633,10,98.5,One-time Shoppers
KH2807,180,11,63.2,Big Spenders
KH2808,239,6,14.8,Big Spenders
KH2809,264,6,69.35,Big Spenders
KH2810,0,17,171.4,Loyal Customers
KH2811,310,20,305.72,Churned Customers
KH2812,387,4,50.3,Churned Customers
KH2813,44,16,110.2,Potential Loyalists
KH2814,70,17,152.42,Loyal Customers
KH2815,111,8,101.8,Potential Loyalists
KH2816,80,24,116.3,Potential Loyalists
KH2817,8,10,98.8,Potential Loyalists
KH2818,38,6,45.8,Potential Loyalists
KH2820,401,2,24.2,Churned Customers
KH2822,12,4,23.48,Potential Loyalists
KH2823,439,5,63.3,Churned Customers
KH2824,23,9,64.2,Potential Loyalists
KH2825,1,10,129.9,Loyal Customers
KH2826,482,2,13.4,One-time Shoppers
KH2827,60,8,49.22,Potential Loyalists
KH2828,697,2,26.8,One-time Shoppers
KH2829,11,10,71.9,Potential Loyalists
KH2830,191,11,71.2,Big Spenders
KH2831,358,9,52.2,Churned Customers
KH2832,58,11,86.65,Potential Loyalists
KH2833,138,4,52.3,Big Spenders
KH2834,4,10,177.32,Loyal Customers
KH2835,82,19,148.52,Loyal Customers
KH2836,1,12,143.12,Loyal Customers
KH2837,102,11,56.45,Potential Loyalists
KH2838,50,7,49.8,Potential Loyalists
KH2839,60,8,180.3,Loyal Customers
KH2840,145,15,117.9,Big Spenders
KH2841,10,2,9.0,Potential Loyalists
KH2842,154,4,67.8,Big Spenders
KH2843,16,9,55.3,Potential Loyalists
KH2844,223,2,18.8,Big Spenders
KH2845,90,4,31.9,Potential Loyalists
KH2846,98,6,58.36,Potential Loyalists
KH2847,37,13,167.0,Loyal Customers
KH2848,45,4,21.4,Potential Loyalists
KH2849,36,11,133.35,Loyal Customers
KH2850,278,9,121.6,Churned Customers
KH2851,105,29,277.4,Loyal Customers
KH2852,205,2,19.5,Big Spenders
KH2853,408,5,26.9,Churned Customers
KH2854,325,11,144.02,Churned Customers
KH2855,52,23,215.0,Loyal Customers
KH2856,131,4,32.4,Big Spenders
KH2857,256,15,177.8,Big Spenders
KH2858,493,3,36.8,One-time Shoppers
KH2859,322,4,46.9,Churned Customers
KH2860,10,14,127.48,Potential Loyalists
KH2861,28,12,70.55,Potential Loyalists
KH2862,144,6,28.98,Big Spenders
KH2863,541,7,113.0,One-time Shoppers
KH2864,149,10,76.04,Big Spenders
KH2865,56,8,86.8,Potential Loyalists
KH2866,623,2,25.0,One-time Shoppers
KH2867,7,15,98.22,Potential Loyalists
KH2868,26,21,163.9,Loyal Customers
KH2869,20,14,117.1,Potential Loyalists
KH2870,66,13,228.6,Loyal Customers
KH2871,10,8,77.25,Potential Loyalists
KH2872,102,8,82.69,Potential Loyalists
KH2873,118,16,105.0,Potential Loyalists
KH2874,112,16,88.1,Potential Loyalists
KH2875,59,7,57.4,Potential Loyalists
KH2876,61,12,77.32,Potential Loyalists
KH2877,264,6,75.5,Big Spenders
KH2878,421,4,11.5,Churned Customers
KH2879,2,13,100.7,Potential Loyalists
KH2880,57,8,66.5,Potential Loyalists
KH2881,577,4,28.65,One-time Shoppers
KH2882,188,11,69.75,Big Spenders
KH2883,79,10,85.7,Potential Loyalists
KH2884,2,8,84.45,Potential Loyalists
KH2885,41,14,116.0,Potential Loyalists
KH2886,383,4,41.4,Churned Customers
KH2887,347,4,31.1,Churned Customers
KH2888,10,9,35.9,Potential Loyalists
KH2889,344,2,11.1,Churned Customers
KH2890,248,6,51.86,Big Spenders
KH2891,181,5,54.15,Big Spenders
KH2892,405,5,38.0,Churned Customers
KH2893,18,11,101.1,Potential Loyalists
KH2894,291,2,16.0,Churned Customers
KH2895,138,3,36.3,Big Spenders
KH2897,337,6,96.6,Churned Customers
KH2898,525,7,19.7,One-time Shoppers
KH2899,36,11,59.6,Potential Loyalists
KH2900,263,12,72.72,Big Spenders
KH2901,508,8,96.15,One-time Shoppers
KH2902,136,7,76.7,Big Spenders
KH2903,144,12,54.4,Big Spenders
KH2904,104,10,65.8,Potential Loyalists
KH2905,69,6,85.8,Potential Loyalists
KH2906,175,11,94.35,Big Spenders
KH2907,376,17,124.05,Churned Customers
KH2908,290,8,53.2,Churned Customers
KH2909,236,11,105.7,Big Spenders
KH2910,26,15,95.8,Potential Loyalists
KH2911,169,4,10.85,Big Spenders
KH2912,336,11,61.79,Churned Customers
KH2913,179,4,40.03,Big Spenders
KH2914,30,9,67.1,Potential Loyalists
KH2915,421,4,85.8,Churned Customers
KH2916,200,15,99.39,Big Spenders
KH2917,582,6,65.7,One-time Shoppers
KH2918,19,21,252.6,Loyal Customers
KH2919,183,4,32.5,Big Spenders
KH2920,80,11,60.3,Potential Loyalists
KH2921,398,9,70.4,Churned Customers
KH2922,4,6,46.7,Potential Loyalists
KH2923,423,5,67.6,Churned Customers
KH2924,41,11,63.16,Potential Loyalists
KH2925,19,16,111.8,Potential Loyalists
KH2926,52,7,34.15,Potential Loyalists
KH2927,330,10,60.36,Churned Customers
KH2928,99,9,164.0,Loyal Customers
KH2929,434,4,68.7,Churned Customers
KH2930,282,14,82.5,Churned Customers
KH2931,543,3,27.7,One-time Shoppers
KH2932,285,17,88.5,Churned Customers
KH2933,268,8,56.8,Big Spenders
KH2934,108,9,58.5,Potential Loyalists
KH2935,355,10,62.7,Churned Customers
KH2936,205,5,58.4,Big Spenders
KH2937,152,17,102.16,Big Spenders
KH2938,188,7,88.8,Big Spenders
KH2939,149,8,55.8,Big Spenders
KH2940,53,11,74.2,Potential Loyalists
KH2941,88,12,45.3,Potential Loyalists
KH2942,332,12,79.35,Churned Customers
KH2943,193,8,54.23,Big Spenders
KH2944,332,14,135.3,Churned Customers
KH2945,164,5,60.8,Big Spenders
KH2946,56,18,162.74,Loyal Customers
KH2947,167,7,93.1,Big Spenders
KH2948,194,10,80.24,Big Spenders
KH2949,577,5,40.26,One-time Shoppers
KH2950,81,15,125.34,Loyal Customers
KH2951,8,7,37.65,Potential Loyalists
KH2952,35,15,149.36,Loyal Customers
KH2953,360,3,14.6,Churned Customers
KH2954,208,7,29.5,Big Spenders
KH2955,207,15,69.4,Big Spenders
KH2956,28,11,60.8,Potential Loyalists
KH2957,33,19,153.56,Loyal Customers
KH2958,199,10,76.4,Big Spenders
KH2960,11,26,242.84,Loyal Customers
KH2961,44,20,153.36,Loyal Customers
KH2962,248,9,43.45,Big Spenders
KH2963,582,4,13.2,One-time Shoppers
KH2964,141,12,140.2,Big Spenders
KH2965,571,6,59.45,One-time Shoppers
KH2966,399,6,31.7,Churned Customers
KH2967,327,6,38.65,Churned Customers
KH2968,74,2,12.64,Potential Loyalists
KH2969,22,8,73.7,Potential Loyalists
KH2970,0,7,33.6,Potential Loyalists
KH2971,337,7,91.62,Churned Customers
KH2972,223,10,87.9,Big Spenders
KH2973,382,12,81.6,Churned Customers
KH2974,4,9,77.7,Potential Loyalists
KH2975,67,13,89.4,Potential Loyalists
KH2976,211,5,28.21,Big Spenders
KH2977,44,12,71.5,Potential Loyalists
KH2978,35,19,133.3,Loyal Customers
KH2979,143,10,76.85,Big Spenders
KH2980,247,7,70.96,Big Spenders
KH2981,27,9,43.8,Potential Loyalists
KH2982,188,12,95.9,Big Spenders
KH2983,110,4,66.0,Potential Loyalists
KH2984,309,11,49.4,Churned Customers
KH2985,215,6,21.5,Big Spenders
KH2986,225,17,95.1,Big Spenders
KH2987,623,2,20.6,One-time Shoppers
KH2988,77,2,10.2,Potential Loyalists
KH2989,334,12,84.7,Churned Customers
KH2990,140,24,303.61,Loyal Customers
KH2991,317,12,111.78,Churned Customers
KH2992,51,3,15.6,Potential Loyalists
KH2993,239,15,296.96,Loyal Customers
KH2994,536,6,58.7,One-time Shoppers
KH2995,315,5,35.59,Churned Customers
KH2996,95,14,187.8,Loyal Customers
KH2997,0,16,144.87,Loyal Customers
KH2998,169,5,18.6,Big Spenders
KH2999,149,8,76.3,Big Spenders
KH3000,495,2,15.4,One-time Shoppers
KH3001,6,4,25.2,Potential Loyalists
KH3002,139,17,141.6,Loyal Customers
KH3003,601,6,46.04,One-time Shoppers
KH3004,323,4,30.35,Churned Customers
KH3005,171,11,99.1,Big Spenders
KH3006,3,7,59.3,Potential Loyalists
KH3007,393,4,10.7,Churned Customers
KH3008,539,5,27.3,One-time Shoppers
KH3009,138,14,78.1,Big Spenders
KH3010,138,11,65.44,Big Spenders
KH3011,191,11,45.7,Big Spenders
KH3012,101,6,27.9,Potential Loyalists
KH3013,131,13,82.3,Big Spenders
KH3014,49,17,256.0,Loyal Customers
KH3015,81,10,79.3,Potential Loyalists
KH3016,29,7,40.0,Potential Loyalists
KH3017,93,6,70.8,Potential Loyalists
KH3018,186,6,28.8,Big Spenders
KH3019,11,5,31.4,Potential Loyalists
KH3020,125,8,61.3,Big Spenders
KH3021,334,10,58.3,Churned Customers
KH3022,45,9,96.4,Potential Loyalists
KH3023,155,9,68.8,Big Spenders
KH3024,372,5,54.2,Churned Customers
KH3025,72,11,131.0,Loyal Customers
KH3026,340,15,54.85,Churned Customers
KH3027,106,9,74.9,Potential Loyalists
KH3028,204,15,178.2,Big Spenders
KH3029,213,6,89.36,Big Spenders
KH3030,381,10,101.4,Churned Customers
KH3031,12,15,187.8,Loyal Customers
KH3032,208,4,24.55,Big Spenders
KH3033,461,8,75.0,One-time Shoppers
KH3034,222,10,73.5,Big Spenders
KH3035,31,13,74.9,Potential Loyalists
KH3036,103,17,85.94,Potential Loyalists
KH3037,310,5,21.1,Churned Customers
KH3038,353,12,76.3,Churned Customers
KH3039,32,10,40.95,Potential Loyalists
KH3040,445,4,54.4,Churned Customers
KH3041,106,14,123.49,Loyal Customers
KH3042,3,22,123.1,Potential Loyalists
KH3043,359,2,41.4,Churned Customers
KH3044,92,19,120.62,Loyal Customers
KH3045,279,11,143.15,Big Spenders
KH3046,42,23,163.8,Loyal Customers
KH3047,114,5,28.3,Potential Loyalists
KH3048,20,19,234.0,Loyal Customers
KH3049,328,4,82.9,Churned Customers
KH3050,15,33,222.7,Loyal Customers
KH3051,31,15,105.6,Potential Loyalists
KH3052,179,5,22.05,Big Spenders
KH3053,5,9,82.2,Potential Loyalists
KH3054,185,18,123.6,Big Spenders
KH3055,134,7,59.4,Big Spenders
